Gene > Primary DBID	Gene > Systematic Name	Gene > Standard Name
S000000002	YAL002W	VPS8
S000000027	YAL029C	MYO4
S000000069	YAR014C	BUD14
S000000104	YBL008W	HIR1
S000000181	YBL085W	BOI1
S000000211	YBR007C	DSF2
S000000435	YBR231C	SWC5
S000000602	YCR009C	RVS161
S000000729	YEL003W	GIM4
S000000779	YEL053C	MAK10
S000000810	YER008C	SEC3
S000000818	YER016W	BIM1
S000000916	YER114C	BOI2
S000000922	YER120W	SCS2
S000001161	YHR119W	SET1
S000001201	YHR158C	KEL1
S000001380	YIL118W	RHO3
S000001421	YIL159W	BNR1
S000001490	YKL007W	CAP1
S000001508	YKL025C	PAN3
S000001517	YKL034W	TUL1
S000001696	YKL213C	DOA1
S000001763	YKR055W	RHO4
S000001908	YFR012W	DCV1
S000002178	YDL020C	RPN4
S000002180	YDL022W	GPD1
S000002275	YDL117W	CYK3
S000002281	YDL123W	SNA4
S000002529	YDR122W	KIN1
S000002558	YDR151C	CTH1
S000002616	YDR208W	MSS4
S000002684	YDR276C	PMP3
S000002742	YDR334W	SWR1
S000002787	YDR379W	RGA2
S000003074	YGL106W	MLC1
S000003304	YGR072W	UPF3
S000003470	YGR238C	KEL2
S000003621	YJL085W	EXO70
S000003831	YJR070C	LIA1
S000003834	YJR073C	OPI3
S000003852	YJR092W	BUD4
S000003996	YLR006C	SSK1
S000004005	YLR015W	BRE2
S000004086	YLR096W	KIN2
S000004126	YLR136C	TIS11
S000004219	YLR229C	CDC42
S000004252	YLR262C	YPT6
S000004639	YMR036C	MIH1
S000004667	YMR063W	RIM9
S000004685	YMR080C	NAM7
S000005096	YNL152W	INN1
S000005133	YNL189W	SRP1
S000005215	YNL271C	BNI1
S000005372	YOL012C	HTZ1
S000005596	YOR070C	GYP1
S000005653	YOR127W	RGA1
S000005658	YOR132W	VPS17
S000005822	YOR296W	""
S000005853	YOR326W	MYO2
S000005936	YPL015C	HST2
S000005952	YPL031C	PHO85
S000006059	YPL138C	SPP1
S000006076	YPL155C	KIP2
S000006163	YPL242C	IQG1
S000006259	YPR055W	SEC8
S000006392	YPR188C	MLC2
S000007228	YBL091C-A	SCS22
